,approach,student_id,student_name,student_params,student_acc,student_type,max_dist_delta,min_dist_delta,mean_dist_delta,std_dist_delta,q25_dist_delta,q75_dist_delta,pos_dist_delta,max_k_gain,min_k_gain,mean_k_gain,std_k_gain,q25_k_gain,q75_k_gain,max_k_loss,min_k_loss,mean_k_loss,std_k_loss,q25_k_loss,q75_k_loss
49,CD_Dist,132,gluon_resnet101_v1c,44.57,76.534,cnn,-0.9000000000000057,-3.706000000000003,-2.1432999999999973,0.9796387650557735,-3.1170000000000044,-1.3099999999999952,0.0,2.76,2.098,2.537,0.18440986958403288,2.483,2.659,6.454,3.042,4.680300000000001,1.130086417049599,3.775,5.758
50,CD_Dist,42,resnetv2_50,25.55,78.16199999999999,cnn,-2.028000000000006,-17.214,-4.634800000000004,4.209749560247022,-4.666499999999999,-2.1739999999999995,0.0,2.782,2.236,2.4204,0.15413448673155533,2.3105,2.4915,19.676,4.292,7.055200000000001,4.304414868480964,4.4825,7.302
51,CD_Dist,130,resnetv2_50x1_bit_distilled,25.55,81.88,cnn,-0.45999999999999375,-10.031999999999996,-2.914199999999989,3.141013205957593,-5.30599999999999,-0.6844999999999892,0.0,2.814,1.65,2.3876999999999997,0.3505648442157313,2.0805000000000002,2.7495,12.822,2.11,5.301900000000001,3.4091319408318594,2.7725,8.014000000000001
52,CD_Dist,48,gluon_resnet34_v1b,21.8,70.678,cnn,-1.2000000000000028,-5.635999999999996,-2.9978000000000025,1.3015890134754509,-4.180000000000007,-1.9300000000000033,0.0,3.5740000000000003,2.418,3.0435000000000003,0.37847476798328306,2.67,3.4139999999999997,9.19,3.618,6.0413,1.6617339468157952,4.6145,7.601999999999999
53,CD_Dist,214,mixer_l16_224,208.2,74.67399999999999,mlp,3.8220000000000023,2.937999999999988,3.4965999999999973,0.2523323998221417,3.322999999999997,3.6870000000000047,100.0,7.116,6.370000000000001,6.7330999999999985,0.263085898519856,6.478999999999999,6.993500000000001,3.5380000000000003,2.8979999999999997,3.2365000000000004,0.16763039700483917,3.1415,3.3285
54,CD_Dist,2,mixer_b16_224_miil,59.88,81.386,mlp,-0.32800000000000296,-1.7299999999999898,-0.7320999999999949,0.32993725161005955,-0.8569999999999958,-0.482999999999997,0.0,2.07,1.466,1.6999,0.15416935493151676,1.598,1.7819999999999998,3.55,1.914,2.432,0.38356642188804796,2.209,2.5715000000000003
55,CD_Dist,9,mixer_b16_224,59.88,77.596,mlp,1.6659999999999968,0.3939999999999913,1.1145999999999894,0.406716166386339,0.7699999999999854,1.4574999999999851,100.0,4.986,4.098,4.4037999999999995,0.23328000342935512,4.247,4.5155,4.26,2.814,3.2891999999999997,0.3980273357446696,2.9525,3.5675
56,CD_Dist,77,resmlp_36_224,44.69,78.524,mlp,0.054000000000002046,-1.3819999999999908,-0.48449999999999493,0.39981139303426394,-0.7699999999999854,-0.17899999999999494,5.0,2.488,0.652,2.0178,0.37336679016752417,1.909,2.1885,3.87,0.598,2.5022999999999995,0.7185931463630864,1.998,2.9595000000000002
57,CD_Dist,258,resmlp_24_224,30.02,77.914,mlp,0.04999999999999716,-1.9920000000000044,-0.6695000000000014,0.6112769830445106,-0.9229999999999983,-0.15350000000000108,5.0,2.5940000000000003,1.602,2.1397,0.329310355136306,1.866,2.4455,4.55,1.69,2.8091999999999997,0.9159192977549933,2.0060000000000002,3.3829999999999996
58,CD_Dist,160,resmlp_24_distilled_224,30.02,78.956,mlp,-0.22400000000000375,-80.32200000000002,-8.895200000000013,23.816704200203684,-1.586500000000008,-0.39250000000000895,0.0,2.186,0.006,1.5341999999999998,0.6011791413547214,1.3105,1.9605,80.328,1.504,10.429399999999998,23.31732410119137,1.766,3.653
59,CD_Dist,72,resmlp_12_224,15.35,74.992,mlp,-0.8960000000000008,-3.294000000000011,-1.7296000000000062,0.715415291980819,-1.9390000000000107,-1.2630000000000088,0.0,2.862,2.1340000000000003,2.5513,0.1969733738351455,2.4565,2.6660000000000004,6.085999999999999,3.082,4.2809,0.8786877659328142,3.762,4.5885
60,CRD_Dist,41,xcit_large_24_p16_224,189.1,81.538,transformer,0.5660000000000025,-1.5619999999999976,-0.2670999999999978,0.6899146251529953,-0.6879999999999953,0.3200000000000003,40.0,3.638,2.8920000000000003,3.3376000000000006,0.2144402947209316,3.1719999999999997,3.5285,5.061999999999999,2.526,3.6047000000000002,0.862110265569318,2.879,4.3075
61,CRD_Dist,7,vit_base_patch16_224,86.57,82.616,transformer,-1.13600000000001,-2.680000000000007,-1.8306000000000027,0.45848624843063746,-2.211500000000008,-1.4745000000000097,0.0,2.788,2.504,2.6430999999999996,0.07185116561337053,2.5995,2.7145,5.334,3.698,4.473699999999999,0.5020471193025611,4.1235,4.853
62,CRD_Dist,5,pit_b_224,73.76,82.44,transformer,1.0400000000000065,-0.4959999999999951,0.40740000000000054,0.47892467048587,0.12549999999999883,0.7854999999999954,75.0,3.5360000000000005,3.114,3.3403,0.09793727584530827,3.3064999999999998,3.387,3.768,2.226,2.9329,0.4916765095059963,2.485,3.3520000000000003
63,CRD_Dist,46,vit_relpos_medium_patch16_224,38.75,81.486,transformer,0.10000000000000853,-1.602000000000004,-0.5259999999999941,0.5618821940585056,-0.8534999999999897,-0.03200000000000003,20.0,2.722,2.012,2.3701999999999996,0.23224891818908436,2.148,2.552,4.324,1.982,2.8962,0.7741893566822008,2.138,3.4325
64,CRD_Dist,26,pit_xs_224,10.62,76.584,transformer,-0.597999999999999,-2.2779999999999916,-1.1535999999999973,0.510493330024986,-1.4239999999999888,-0.7184999999999988,0.0,2.72,2.278,2.522,0.12121056059601411,2.4465,2.644,4.942,2.888,3.6756,0.613052885157553,3.184,3.9770000000000003
